sample,race,shannon_wiener_index,normalized_shannon_wiener_index,simpson_index,inverse_simpson_index,gini_simpson_index,D50_index,chao1,chao1_SD,gini_coefficient
SRR5812661,European,35695.25186576286,0.9092645626661292,0.0004582868305561176,2182.0395728730177,0.9995417131694438,10.68451355740367,116305.36859504132,378.5376503960761,0.6440774478399703
SRR5812662,European,62943.14729787208,0.9322222642367499,0.00018524182279303417,5398.348952316636,0.999814758177207,15.51448146330011,157186.29653092005,364.5017936009084,0.5412251121539144
SRR5812664,European,19014.184667231548,0.8033968877330036,0.0018594255040830345,537.8005183881484,0.998140574495917,2.0339798725165017,264493.8108205267,789.8085216774365,0.7180616775079538
SRR5812665,European,14371.28276341118,0.7941694635918779,0.0007078694889745051,1412.6897903859456,0.9992921305110255,1.0529685681024448,219919.4867045029,524.4986256445811,0.8405448139292364
SRR5812666,European,3365.6258018134613,0.6768962244263115,0.0031833388389916656,314.1355823487373,0.9968166611610083,0.1569984361724397,233649.8539528949,695.2340487420715,0.896896254658979
SRR5812667,European,1832.2673330980197,0.6063774143188732,0.04891812619062524,20.442320216910556,0.9510818738093748,0.015800284405119294,264858.94403809786,298.6709895290136,0.7793283816712799
SRR5812668,European,241780.32222328527,0.9448715544607525,2.8444018871639403e-05,35156.77599964846,0.9999715559811284,14.574508005755234,544258.492048831,402.846535797998,0.5265873774525266
SRR5812669,European,56334.02164999393,0.8012998184606933,0.009698634913870094,103.10729384914697,0.9903013650861299,4.6967128429202365,933701.1395049231,542.1483722962599,0.6426878595034335
SRR5812670,European,26077.190889758705,0.9445363447356965,7.65186742313993e-05,13068.705254561923,0.9999234813257686,15.572299964119123,54406.37812041116,239.0448029197623,0.5706217078046814
SRR5812671,European,13763.1275953084,0.7854061676668669,0.0034758457541217928,287.69976309051145,0.9965241542458783,1.9924195586140157,195971.12769311614,184.84136819373666,0.6876131599881905
SRR5812672,European,117635.42963422304,0.9165301834806688,0.00045499774132574976,2197.813108008514,0.9995450022586743,10.711884905433292,390924.61833385925,477.5281855046834,0.5907631540011613
SRR5812673,European,7207.436647500174,0.8358282321756643,0.004086582064640661,244.70327138479513,0.9959134179353594,6.4058750818003345,45237.3723150358,156.39140651153173,0.6961278097518189
SRR5812674,European,40696.703755824026,0.8835875451607907,0.0020989827018249797,476.42126785063107,0.997901017298175,7.9980092980347886,193828.5885973437,421.4982269443962,0.6998636127680342
SRR5812675,European,2411.722085250366,0.6777991992018763,0.01916843262488757,52.169106341101546,0.9808315673751125,0.13911620294599017,105841.00213745478,212.57137743034073,0.7943397993787101
SRR5812676,European,9250.578845142263,0.780640096656982,0.0032475854429118607,307.9210747734405,0.9967524145570882,1.007391412673366,139838.8118876819,289.74936002825893,0.8121636179082814
SRR5812677,European,139104.34218160447,0.8895586389823134,0.0010181990420289114,982.1262432219077,0.9989818009579711,8.720365364406051,640953.3599317429,338.32761129644973,0.6019666292590227
SRR5812678,European,220586.70106571238,0.938128151088775,3.2814725979432204e-05,30474.12313077932,0.9999671852740206,13.124604807951767,573151.8167399355,544.9548071455996,0.5315710970122464
SRR5812679,European,69686.86808632339,0.898960704877168,0.0011681506951545164,856.0539356334721,0.9988318493048455,10.019175455417066,336068.56187648454,961.1927066916545,0.6575359369110064
SRR5812680,European,84096.10367281036,0.9346460700871939,0.0007666573597802584,1304.3636603014193,0.9992333426402198,20.188551318890646,236609.51294154668,735.3176137955005,0.5276834100972009
SRR5812681,European,18117.402198118125,0.7921244226708374,0.018370009606964294,54.436552913989104,0.9816299903930357,4.7727349304221836,273045.6287201171,556.9881467286073,0.6779113280416244
SRR5812682,European,59109.44487473016,0.8578217612346354,0.0011259045155834453,888.174784059551,0.9988740954844165,8.691199544355513,423182.2102437453,726.6068513645973,0.6318560786717974
